variable,type,label,outcome,exposure,subset,group
svy_id,svy,,,,,
svy_weight,svy,,,,,
svy_psu,svy,,,,,
svy_strata,svy,,,,,
svy_year,time,NHANES cycle,,,,
demo_age_cat,catg,"Age category, years",,,,
demo_race,catg,Race,,,,
demo_age_years,ctns,"Age, years",,,,
demo_pregnant,bnry,Pregnant,,,,
demo_gender,bnry,Gender,,,,
bp_sys_mean,ctns,"Systolic blood pressure, mm Hg",,,,
bp_dia_mean,ctns,"Diastolic blood pressure, mm Hg",,,,
bp_cat_meds_excluded,catg,Blood pressure category (not including antihypertensive medication use),,,,
bp_cat_meds_included,catg,Blood pressure category (including antihypertensive medication use),,,,
bp_med_use,bnry,Antihypertensive medication use,,,,
bp_med_recommended_jnc7,bnry,Antihypertensive medications recommended by JNC7,,,,
bp_med_recommended_accaha,bnry,Antihypertensive medications recommended by ACC/AHA 2017,,,,
bp_med_n_class,intg,Number of antihypertensive medication classes,,,,
bp_control_jnc7,bnry,Blood pressure control (JNC7 defn),,,,
bp_control_accaha,bnry,Blood pressure control (ACC/AHA 2017 defn),,,,
htn_jnc7,bnry,Hypertension (JNC7 defn),,,,
htn_accaha,bnry,Hypertension (ACC/AHA 2017 defn),,,,
htn_aware,bnry,Awareness of hypertension,,,,
htn_resistant_jnc7,bnry,Resistant hypertension (JNC7 defn),,,,
htn_resistant_accaha,bnry,Resistant hypertension (ACC/AHA 2017 defn),,,,
cc_smoke,catg,Smoking status,,,,
cc_bmi,catg,"Body mass index, kg/m2",,,,
cc_diabetes,bnry,Prevalent diabetes,,,,
cc_ckd,bnry,Prevalent chronic kidney disease,,,,
cc_cvd_mi,bnry,History of myocardial infarction,,,,
cc_cvd_chd,bnry,History of coronary heart disease,,,,
cc_cvd_stroke,bnry,History of stroke,,,,
cc_cvd_ascvd,bnry,History of ASCVD,,,,
cc_cvd_hf,bnry,History of heart failure,,,,
cc_cvd_any,bnry,History of CVD,,,,
